noisy,xgb_near,xgb_full,ridge_near,ridge_full
-9.514927190623798,-9.097773816251761,-9.895498801860235,-12.051465995876422,-12.762985806538818
-10.474056583930668,-9.28049586617102,-7.560767038613935,-13.157938570428495,-13.655978567678638
-9.676111808848063,-10.533445068386046,-9.66550933353496,-12.213813544258496,-12.819076126264484
-9.600718752185823,-7.812650935885866,-9.00713183692568,-11.913401039567246,-12.338898843069128
-9.469981630629823,-9.046310792441519,-9.119905456488027,-11.844490988354481,-12.297110955381115
-9.430010572250431,-8.327535368089304,-7.73077006298011,-11.763445162893325,-12.281828480977428
-9.422338335602516,-10.089355760434712,-5.809309347021911,-12.056649829734623,-12.90653517127569
-9.080112068614662,-8.025490230935308,-10.589665194076396,-11.223132384674233,-11.887619387569378
-9.818691073077249,-8.840426671470148,-8.502689839462167,-12.35733226141594,-12.908548582336238
-9.970753393170583,-10.736242569596767,-8.197973526841643,-12.804689189595727,-13.67600100753305
-9.6793419007559,-8.901434983562483,-10.337421423172103,-12.081045271171549,-12.608598360504699
-9.539308853223924,-9.202171668762393,-6.287490545790858,-12.453474831189189,-13.21311152409831
-10.5027886109243,-11.568956390968445,-8.340568318935999,-13.402539364000987,-14.517767506697155
-10.747995378183168,-10.780405570893727,-14.772699860658667,-14.117615341750476,-15.488714624034428
-10.037361447416531,-10.258098583279939,-9.076229526870389,-12.923879188527685,-13.496348777478186
-9.178592135570776,-9.558663234294283,-8.99826420671079,-11.513452497967867,-12.22115266744453
-10.403491569485464,-9.044807904326017,-9.668679372487263,-13.20038460410782,-13.779296774371396
-9.48830728514122,-9.210022980311503,-8.378304105797081,-12.023765428285408,-12.876209014612213
-10.173146697955069,-10.585845535604777,-5.503867147369125,-12.775999582312155,-13.93555738625591
-9.74052857422689,-9.140895502798625,-7.489173082276375,-12.21586953008133,-12.740168386810792
-10.332869389271618,-11.213560999706012,-9.759754924198841,-13.3202303797182,-14.300580529545705
-9.122830669895515,-10.420775496404103,-9.28620182163197,-11.692669341625262,-12.699458807668348
-10.326303155628441,-11.623730417718875,-10.378179438047471,-13.501391764796074,-14.404159458237803
-10.37888600811168,-8.272997412535727,-6.113601469940884,-12.899000899191027,-13.409147991871412
-9.546355029897299,-9.859058145530872,-9.768979305246603,-12.146104816894994,-13.080788969228964
-9.520755154588127,-10.688574736169537,-10.687326621228504,-12.11800685011989,-13.40745347197484
-9.023080942121233,-10.596084740543397,-9.58381005827938,-11.830292805134214,-12.679117515327711
-10.134902586195622,-8.575151423456358,-12.017986817114569,-12.733989693072148,-13.143444109537365
-10.073064212770209,-8.631930516354268,-7.7891627696754,-12.60921942324501,-13.057388276147291
-8.821789649993795,-8.381849825140534,-10.256706525172158,-11.087436566205813,-11.913862946210664
-9.137402269080322,-9.345197093973788,-10.143888105286265,-11.608053249559058,-12.519370028506156
-9.174587299341104,-10.096829820698323,-7.617384923742461,-11.995910844836413,-12.670600831135088
-9.304968560863374,-9.891377833781982,-8.561993909716925,-12.079245103995426,-12.81163259523408
-10.336105696710469,-9.474046557405694,-8.91873428507148,-12.912930086857795,-13.43678762525855
-9.626448206288062,-10.517267727518362,-8.867695217383922,-12.356126223457478,-13.216557975624932
-9.093525565224187,-9.644628701363349,-8.820211525872534,-11.505499980404187,-12.135130409995002
-10.908075066099647,-11.138042178383813,-9.910609371365762,-14.343696091697371,-15.46429552178288
-8.531750935477163,-8.865291709230267,-7.326866427557086,-11.144680876158613,-11.815809586671492
-9.364217100113757,-9.409438120506682,-9.222920302871685,-11.766739676474915,-12.482601271059337
-9.489504427894172,-10.516797266557335,-10.439614939008088,-12.568821836354006,-13.42135605985376
-9.846362838762355,-10.140321757450529,-8.343143336666007,-12.498881411920614,-13.334036566226843
-10.336170842061321,-9.423640058996815,-8.510640895586956,-12.972648944332061,-13.507581743238095
-9.530943003676644,-9.539004741464803,-8.656877140229536,-12.528675804070948,-13.25775646938181
-9.856394528829583,-8.79526844106526,-8.799169944225069,-12.304093063981897,-12.829216207489555
-9.979097856264891,-9.582453389609563,-9.411028469247505,-12.916468437488728,-13.518852204379321
-10.489215239883759,-9.175285316314564,-11.536144728119982,-13.096075927309753,-13.655569008364417
-8.94822958162808,-10.68604766076579,-5.76561909138678,-11.40505462024623,-11.9567528442065
-8.511874515142358,-8.755232632845813,-7.399249742628882,-10.723291467778106,-11.193915985982574
-8.489490452364059,-9.752438815190104,-6.952560164511366,-10.733640202438377,-11.508865531875173
-9.048247916684863,-9.623627279391874,-6.981868742527997,-11.832659110148764,-12.6639374178067
-9.110449119616693,-9.580014015865865,-9.020733052025548,-11.609628610668752,-11.967379310790632
-10.121442409841237,-9.913365816935613,-8.861889409739511,-12.63085535851383,-13.59299220701843
-9.333372676887095,-10.935855357921977,-8.999684510572653,-12.13193908804271,-12.861047822844235
-10.147371512993912,-10.267995959703988,-9.509933796518878,-13.717130121091746,-14.278885615479846
-9.656221049687284,-10.195168042330902,-8.218746606401663,-12.416982381736968,-13.125410088668515
-9.708140846441383,-7.871605527061581,-6.387963923451339,-12.10658729391698,-12.563038598210133
-9.63388123858588,-9.686010341580005,-10.303682679435694,-11.964054621944825,-12.707909508571129
-8.822569626957987,-8.4767703536099,-9.764084062296572,-10.981224681356768,-11.690499104866575
-8.832295470673442,-9.842086528928965,-12.466650625266777,-11.33699685438833,-12.065415719479102
-9.388311525281233,-8.349978711109577,-8.404650759646405,-11.762186286777496,-12.169746219838679
