noisy,xgb_near,xgb_full,ridge_near,ridge_full,zne
-10.296872390962928,-9.13138126746981,-14.00561029666176,-11.927098205015875,-12.27974175860436,-11.357831189695473
-11.29056387646314,-10.163766679358782,-15.507566378044377,-12.954970837750356,-13.215960518214397,-12.399713012292251
-10.66197968002253,-10.899013300886727,-13.6294460032992,-12.225557808315996,-12.62386623698272,-11.98314430045545
-10.487263545500552,-8.494526665807696,-14.427670342010607,-11.958374455859794,-12.096235754079125,-11.766613600623808
-10.474850220700178,-9.666414935488811,-14.714063649553545,-11.988444985506254,-12.19833241070495,-12.167534357510643
-10.479894041385515,-9.54523663184276,-14.139544761954046,-11.992337046288384,-12.230412984611876,-12.017210366476236
-10.689701481443969,-10.389101798350206,-15.418262625926207,-12.496291932266054,-12.933490161829589,-12.24598858048852
-9.69898665542338,-8.919754136624388,-10.464394925496464,-11.075114094660313,-11.383388871090682,-10.632790841404326
-10.853392092925024,-9.865165775857196,-11.292364922352393,-12.469536695088838,-12.681279382503469,-12.222294826689131
-11.048878151509232,-11.28726573724335,-14.213623184179516,-12.889071559017676,-13.494591430531871,-12.34546006418287
-10.632453964215738,-9.464596710568156,-14.01203187693444,-12.163006692371424,-12.398648250902736,-12.021615803249638
-10.55445368055835,-9.84127862708394,-14.143978178579871,-12.422055714933943,-12.781498632244034,-11.749884256279552
-11.476203273645982,-11.792807158928362,-14.917176624114804,-13.328799536273753,-13.97273350284156,-12.690132217167342
-12.148810012090212,-11.388551824094217,-17.31391570450616,-14.394138191858747,-15.067245799261933,-13.935146854861104
-10.87426210540143,-10.67312357772745,-13.127955735776728,-12.646930204879652,-13.064603447979133,-11.936390994956739
-10.009275222176802,-9.75563070522218,-13.78475136221273,-11.526014582654218,-11.862650671302054,-11.135596548884006
-11.243546870563298,-9.885476227532616,-12.983260997733224,-12.977082550630122,-13.224009328601356,-12.265914970531277
-10.396081703883846,-9.111014562235852,-12.239788851657591,-11.993210197355756,-12.530585905388438,-11.564779250352892
-11.12415104581523,-10.377034087918986,-13.88154757000309,-12.882202223940372,-13.380525794351636,-12.381257137525179
-10.738263049867845,-9.472225564113003,-13.654003122790094,-12.314248088505025,-12.569070362324611,-12.054051063191926
-11.297462594136215,-10.760739567825777,-14.566706460641813,-13.184165176720166,-13.702697788396438,-12.487941421942464
-10.342579054559494,-10.21324957756064,-14.18110697480161,-12.096904790619655,-12.54674739421129,-11.925289634422263
-11.194059556506602,-11.221518630722104,-13.773695044365278,-13.122771147218108,-13.694680642482846,-12.341531324468976
-11.09427452870044,-9.28471350805901,-12.048544313173933,-12.670938118090378,-12.865991039409016,-11.980921444585363
-10.461033915465109,-10.304882889223425,-14.220320450971004,-12.107932339096973,-12.683989975242062,-11.749347765140278
-10.740549511790766,-10.38896365863999,-16.154518045584524,-12.484272129105978,-13.231151467940476,-12.35672629364325
-10.245430432246255,-10.3152449760613,-12.639974075242517,-12.10437514767098,-12.608741674898369,-11.9061136963126
-11.009206238091483,-9.47202905935921,-14.939648484554674,-12.640615038598476,-12.86674415743916,-12.153820726102177
-10.90347354100164,-9.592911208806484,-13.163490979304912,-12.512597402513956,-12.718686446062277,-12.074828913675999
-9.894520807587895,-9.496814760891636,-11.11965127278831,-11.377994347330429,-11.777257270763217,-11.353463090202547
-10.10427775658393,-9.22741011535106,-14.398259774936152,-11.71546408115734,-12.267621752854833,-11.35697441787534
-10.359549735865173,-10.527124422687743,-14.820823580971314,-12.111201040282442,-12.48183398342133,-11.982607044772173
-10.639633558383888,-10.41199092370842,-16.145022107570654,-12.393097985479882,-12.913639483071671,-12.39995165762507
-11.127269116083218,-9.588945754643644,-13.344911757739354,-12.742438393937448,-12.965778754852224,-12.175613161147304
-10.754595808993152,-10.883063809379648,-15.09755117009452,-12.507383265803824,-13.007327927951868,-12.203171293797885
-10.16162236433674,-9.916340154018917,-14.729495502138404,-11.779541879947,-12.088885316011888,-11.693712446721475
-11.891216487866268,-11.474351698560888,-16.289461661969938,-14.098258962073128,-14.709303194790312,-13.174186583671476
-9.855568508846185,-9.88250865207942,-13.88352159828544,-11.632208515538402,-12.078176783481668,-11.659947941915991
-10.19604613371005,-10.213315325170733,-12.707861275412876,-11.716504594979732,-12.125110933967475,-11.358789506703895
-10.7071228389784,-10.662217407949978,-13.814249694282925,-12.75956526197316,-13.245764677437394,-12.36173175993406
-10.885390208741889,-10.722478232116002,-12.981440029517662,-12.543659564688951,-13.290666771744382,-12.290522088995694
-11.207592526312595,-9.55113201952722,-14.28509725381724,-12.877531918019836,-13.157084315172767,-12.305578884018898
-10.74063440051229,-10.281916488374366,-14.129754538910673,-12.619514321627031,-13.03731330709862,-12.231184789974842
-10.844492725537652,-9.432450939610652,-14.582650391217843,-12.413066478268716,-12.665950071572306,-12.09410921944713
-10.896655206601991,-10.109177228318956,-14.115574063099071,-12.751439386096472,-13.137426728537536,-12.084876325136856
-11.242509554997223,-9.811951169099268,-15.443584597538871,-12.845372796967954,-13.143146540760569,-12.249126060146919
-10.21797404906032,-11.18187987439224,-13.70702074563516,-11.890903735003702,-12.25365054583888,-11.818011068427172
-9.49213887597859,-9.013678720637916,-13.541272891402134,-10.890397518638332,-11.124304940255186,-10.869401830761321
-9.840297488828227,-10.277129769118332,-12.289440361270897,-11.39847950340912,-11.866834139984867,-11.564178899970202
-10.157176862133852,-10.104687574798696,-13.202117192101287,-11.981969057523036,-12.40339242438267,-11.606164806979164
-10.049307015842492,-9.494402960555153,-14.791685467523454,-11.590634179612904,-11.82469819332886,-11.34520426925395
-10.933154366502109,-10.26643030913661,-12.290601532403372,-12.559085278509828,-13.064024648964548,-12.001806901291337
-10.437169265508436,-10.152530017113572,-15.015850427712287,-12.241291715387447,-12.796475786402247,-11.924221878871341
-11.11050670652658,-10.462903854550769,-16.467677702049617,-13.306197384286875,-13.593155971209123,-12.330864245059212
-10.625131920463598,-10.561685773733217,-13.391369307712008,-12.323848059740431,-12.859892086728568,-11.968666141219524
-10.58245485878786,-8.754831757800435,-13.106723281928778,-12.097356070849122,-12.289983049805496,-11.91622041716102
-10.765850239402026,-10.255894776083611,-14.150319096445616,-12.276904358546975,-12.67114415910394,-12.507576945442125
-9.599930925321758,-8.534726761773342,-12.221898047238264,-10.987115982411078,-11.310330052423929,-10.752118111402712
-10.015398507972224,-9.142469619717051,-14.538760089141563,-11.713141835946224,-12.15009980969014,-11.483476593124943
-10.47385597135668,-9.644548560902038,-10.669882229419414,-11.97540863656994,-12.175102126458787,-11.997877278141805
-9.728275017240335,-9.473884837582904,-14.015411208404624,-11.221992126566647,-11.532310507773865,-11.112929099906657
-11.586139473904767,-11.405458486753558,-15.830696353703628,-13.591257112683849,-14.101009582641025,-12.89243268634086
-10.765031922115435,-10.130155724423537,-13.0590537665901,-12.66474017985122,-13.161167382924424,-12.391539845680086
-10.117784326112943,-10.034297543826677,-14.481817253452691,-11.867421827764591,-12.202220716455344,-11.916466582274253
-10.243710722482067,-10.639316921395524,-13.619927239885945,-11.736307325472891,-12.248105719360456,-11.746746341571454
-11.416917449374692,-11.60356341413599,-16.351799758242834,-13.274673983182076,-13.711289490099036,-12.571577151280165
-10.581160070155748,-10.093668876524056,-13.730279506123283,-12.479806709548749,-12.880869243278111,-12.122557208419659
-11.376556896369877,-10.643089407419223,-14.426011460291274,-13.048924246202509,-13.378542694353902,-12.546098681149305
-11.58124902147905,-10.496910794328668,-14.17325704516876,-13.301685823249658,-13.948030585584611,-12.89918433582559
-10.036470302023188,-9.86900272480463,-14.112577094315125,-11.583760739568582,-11.995182480134469,-11.402543489132384
-10.551797344187449,-11.1487775808814,-15.295466243120812,-12.41624921594275,-12.91384851618413,-12.060680745784586
-9.839123488942676,-8.270154894465005,-16.155317651754782,-11.598602505850824,-12.134993114315872,-11.177104940905396
-10.4182296044939,-10.53621245933823,-16.122816318655886,-12.205159951045404,-12.650300326884674,-12.264373922832249
-11.01882268121715,-10.223511616840227,-13.457791230871187,-12.990420368707303,-13.374129573773017,-12.498208052127191
-11.434305899146302,-11.2134959916513,-17.042812642853647,-13.305254759932172,-13.76108145747558,-12.62419165215614
-10.89573498168641,-10.449965723872364,-15.02393720864818,-12.56046209992696,-12.976359919375414,-12.040905824292572
-10.451857223440102,-10.455994743178032,-15.839877603885334,-12.201039020470946,-12.659871906633953,-12.234257291664964
-9.920449686282636,-9.723825425011578,-12.536531697802154,-11.557560096436346,-11.885276811167191,-11.454264236118238
-10.45617407553316,-10.588207162024172,-14.15853393806475,-12.111333047275142,-12.47395789549764,-11.689218222237114
-9.761214824271187,-9.713815010271992,-16.304413359671702,-11.248166903286243,-11.533470906561558,-10.897012421351198
-11.033157195147272,-10.386188438441536,-12.483758660747757,-12.917161718514643,-13.40341078399904,-12.485374027599123
-9.18766155872976,-7.979366477134862,-10.057609520851532,-10.752366002120649,-11.043940121250998,-10.385987787085956
-10.89185077465388,-9.75927481285589,-13.556666319775587,-12.466142606865397,-12.79089853521508,-12.341973153740067
-11.417082136849668,-11.242651853958716,-13.515705083041247,-13.304477342487813,-13.738865384892906,-12.650323893251898
-10.909307693495052,-10.3037879906197,-14.170521691515216,-12.625487160917825,-12.834232812215548,-12.261990823258483
-10.306685535764508,-9.85519103155978,-15.472912982822422,-12.045087399321234,-12.490697051634504,-11.625885907376396
-9.488324088051248,-8.732817821458687,-11.32040243508138,-10.856147362021376,-11.098972027495334,-10.781417580789586
-11.28031200941252,-10.504273917687522,-13.431658287523202,-12.941672871144736,-13.248710727233512,-12.419758483618718
-9.883107078756382,-8.718516224131182,-13.113885271271744,-11.275260474356314,-11.46377991499766,-11.08791256728667
