noisy,xgb_near,xgb_full,ridge_near,ridge_full
-7.049301457570544,-9.333633631465345,-12.06607425150254,-12.831161912092075,-13.419244553923498
-8.040047368128354,-9.462449449493793,-11.760351258800185,-14.330191593194469,-14.57097010639276
-6.908958310587316,-10.86215964507974,-10.389262674663076,-12.046258163251505,-12.60901141218598
-7.110897806663293,-8.43849830564461,-9.146395105132445,-12.463664334410314,-12.51805340220609
-6.162629593551644,-9.335116927962297,-12.62288345773286,-11.023260742994042,-11.02063712281015
-6.503840261165636,-8.688103508651201,-9.594883875900809,-11.537689477107515,-11.916936619710388
-6.394917296920139,-9.59608762367188,-11.720924533727233,-12.07401355491952,-13.059265190062765
-6.916673405159433,-8.34907322965639,-7.237355920357821,-12.087360971464799,-12.627600330503956
-7.066264040128279,-8.874703897428212,-8.83544558310486,-12.602589184753471,-12.964887663208007
-7.268673913891022,-11.177866376951533,-11.16989531703074,-12.988117753781712,-14.605737406719904
-6.842681859913416,-8.749532300843555,-9.153623706160941,-12.05521821220385,-12.425946845828696
-6.891028142596813,-9.048656937019167,-10.007722477106899,-13.459013695073729,-13.922365352625208
-7.772277634842923,-11.556746111707561,-12.363987909301265,-14.256742672559584,-16.191562727928762
-7.197320117456153,-11.218551730758932,-15.071881082158225,-14.18239218610507,-15.44982556429041
-7.69858310464195,-9.919303554612966,-8.243727847252945,-15.01101361544208,-14.855316580692774
-6.8328675720162835,-8.90124635127139,-9.104342899215169,-12.197643926992468,-12.925740565348994
-8.152362480766426,-8.91057645248041,-10.126545912585799,-14.757386173655663,-15.013025344154162
-6.966278197966589,-9.572959087710903,-11.23930607289724,-12.586613987335845,-14.000178069977771
-7.463277457891832,-10.08661577384574,-8.417444177570742,-13.479936857318492,-14.090314873157672
-7.078186089053914,-8.452910357336012,-9.934899094848186,-12.519952814858,-12.690899556414909
-7.727233987291996,-10.370472773603472,-11.047317975500025,-14.30647392945494,-16.015574607560296
-5.932430906240118,-9.057806380922656,-7.3847540619033945,-11.127422530519949,-11.511752336047257
-7.641910131703333,-10.883676636082944,-9.65638226118935,-14.748141385894385,-15.87758011852462
-8.371816340556176,-8.637423646144837,-8.649828731920142,-14.615728598195469,-14.830566516170355
-6.783108217221885,-10.105441875017664,-9.93355593302392,-12.564655655104449,-13.754807185046733
-6.31127446047256,-9.802671286661834,-12.84483857156748,-11.638587962249266,-13.238257880976684
-5.719376048136221,-9.541730474640742,-8.914204045721782,-10.891757063124263,-12.213601631334718
-7.716443919332532,-8.648281476992093,-10.92352141464689,-13.691247736555106,-13.812532663402788
-7.577544940529906,-8.665814778672068,-9.660664418904798,-13.490983107892951,-13.60480771703031
-5.8662324792477385,-8.97206883327517,-9.811296065007216,-10.29988064707029,-11.124851984000118
-6.5352421694238245,-9.04416770157535,-10.87524882357203,-11.765693781651086,-13.445762004160148
-5.870297868255326,-9.706949722521832,-11.091172855522414,-11.168025715586166,-11.535036541057957
-5.837563389446224,-9.28187643119179,-10.849562716073692,-11.317414846444,-12.827923215667301
-8.059695487429945,-9.075865102559309,-7.98816200032188,-14.142229450891431,-14.283124610997058
-6.6644825694349255,-10.512955567458315,-11.918226569736767,-11.866196057431464,-13.112332680090478
-6.145687368560901,-8.649778006556572,-7.88049724927896,-11.101831082867188,-11.171823974139896
-7.887930349205257,-11.25112347773902,-13.606557069827481,-15.781010449554767,-17.31888282177917
-5.077299340635182,-8.345786909303822,-7.02164651814949,-10.360506497716925,-10.42329083488966
-6.866293729006402,-9.049275901216468,-8.695507422284289,-12.116730116571786,-12.842584166906738
-6.244579747958409,-8.730275457777527,-7.8474720750729965,-13.048172899156446,-13.566081714400072
-6.975596905611333,-10.610047425314317,-11.344311421577512,-13.079240687695222,-13.78764325236281
-7.826808469589873,-9.469644794644374,-9.989963969815584,-13.88599343453206,-14.21040166132387
-6.534953852839305,-9.47384438228218,-8.806980150412944,-13.252661346870699,-14.090032333109143
-7.415858229975908,-8.721651279608835,-10.586200392469022,-13.092562428350423,-13.52797728420457
-7.350665168871406,-10.037967875675564,-9.290603128120855,-13.5960225069296,-14.275691900210624
-8.151195647951573,-9.562095112175054,-11.227423060324611,-14.176691795344354,-14.72669223068217
-5.72078230039642,-9.275342908286376,-8.599283236481732,-10.213549261297848,-10.822101664496286
-5.736055263850086,-8.525031975478758,-10.302216750742708,-10.301954602801429,-10.694382387153427
-5.219463167771483,-8.839412109917104,-8.559814059908954,-9.582763450543263,-10.130013693525887
-6.071576744783173,-8.949740563863129,-11.984624930666058,-11.85984210213154,-12.415703655512061
-6.274359337821944,-9.059187117481843,-11.326797820433631,-11.583119846486172,-12.376990933558973
-7.761249363266726,-10.199140210070482,-11.101139524240118,-13.857539321960303,-15.069294285152745
-6.250623432639143,-9.56815498743883,-11.291258063938198,-12.04388817347069,-12.00225797739155
