coefs,params,zne
"[np.float64(0.08793102970898964), np.float64(-0.23199292980645622), np.float64(0.10395090819684967), np.float64(0.4228932399821852), np.float64(0.3469399520756134), np.float64(-0.026859874390376313), np.float64(-0.3065235473598645), np.float64(0.11796777295501819), np.float64(-0.5516977817729732), np.float64(0.6140326423914185), np.float64(0.012781192943135865), np.float64(0.21783426425083496), np.float64(0.5695389484180338), np.float64(0.3428510298246582), np.float64(0.06015845724545831), np.float64(0.00940252472466131), np.float64(-0.16224255406897667), np.float64(-0.21972038726445592), np.float64(-0.14601227519100696), np.float64(0.16552317289631718), np.float64(-0.4943458377659327), np.float64(-0.003536145463773498), np.float64(-0.11460369285745203), np.float64(-0.021316847215138525), np.float64(0.19959239068897403), np.float64(0.08458868064313914), np.float64(0.04801262376511576), np.float64(-0.12898137619814623), np.float64(0.14102936443462616), np.float64(-0.1705689453648488), np.float64(0.4130521276047799), np.float64(0.10489834157787922), np.float64(0.40845774879620883), np.float64(-0.45789760901778936), np.float64(0.5594903930824016), np.float64(-0.0761616848941706), np.float64(-0.011536620069642052), np.float64(0.04579858362617703), np.float64(0.006472197908863287), np.float64(-0.2834114716004059), np.float64(-0.3249768478965704), np.float64(0.3861566427446176), np.float64(0.24010392974431558), np.float64(0.14461276432868833), np.float64(0.2540668167788043), np.float64(0.38680223102137673), np.float64(-0.036295567309857515), np.float64(0.4201612541865732), np.float64(-0.19859780319032355), np.float64(-0.4505748393187154), np.float64(-0.3118568526782583), np.float64(0.09051161379390954), np.float64(0.06139360372232111), np.float64(-0.14408432805336271), np.float64(-0.3775448980227074), np.float64(-0.2666525973383894), np.float64(0.4620353881551059), np.float64(0.22983712766742995), np.float64(0.05998697385074967), np.float64(0.04550755999139041), np.float64(0.2313540772140853), np.float64(-0.09353758628250967), np.float64(0.03346406370969653), np.float64(-0.11503350308235333), np.float64(0.11458612379195685), np.float64(-0.013668019979137582)]","[-1.57628347 -1.57115718 -1.57278479  1.63359144 -4.82207689  4.69586718
 -0.98339195 -0.66872986 -0.49073796  0.15406762 -1.31943483 -1.57674335
  0.2513554  -2.06551615  0.08377966 -3.03771804  3.28505562  1.01936735
  1.33195171 -1.63576381  1.55324409  1.52639804  0.40511077 -3.13638329
  1.54762568 -1.54831217 -1.29273571 -1.29859333 -1.54952573  1.52829557
 -1.6023729  -1.39976615  1.36357037 -1.61012878 -1.42354095  1.78021473
 -0.4932009   1.47248559 -1.67493107 -1.59279881  1.52379793  1.59675804
  1.5720196   1.57441336  1.60173797 -1.45601652  1.60848271  1.64763225]",-2.160450545761705
"[np.float64(-0.17323903917032205), np.float64(-0.023608927209224785), np.float64(-0.2871986289913785), np.float64(0.5060610165919412), np.float64(-0.7159309003785591), np.float64(-0.2666962997321873), np.float64(-0.040495749173171995), np.float64(-0.13160661861343662), np.float64(-0.12197539444886346), np.float64(-0.34321615135465333), np.float64(0.1876012146405651), np.float64(0.0069339874535409175), np.float64(-0.44902558880834886), np.float64(-0.2559253117755219), np.float64(-0.2661827873294297), np.float64(0.32769632450771136), np.float64(-0.2535004081828788), np.float64(0.28437167654231915), np.float64(0.14457604003749874), np.float64(0.11334817369711521), np.float64(-0.2127802415344564), np.float64(-0.4140684625804063), np.float64(-0.27162753810625384), np.float64(0.059068808404754834), np.float64(0.22162957461826088), np.float64(-0.31202987353441436), np.float64(-0.5380797347834076), np.float64(0.07201367593906652), np.float64(0.22025355795399404), np.float64(0.6042376254948667), np.float64(-0.13281741696756807), np.float64(-0.014484033764157564), np.float64(0.10752100036000982), np.float64(-0.3435712294469094), np.float64(0.09218193092536468), np.float64(-0.11194075570725978), np.float64(-0.5155025512155547), np.float64(0.021565706056896877), np.float64(-0.19443328857891592), np.float64(-0.15273030579648453), np.float64(0.1392019055664556), np.float64(-0.20528660841229276), np.float64(-0.3623509310051062), np.float64(0.18287092273526073), np.float64(0.1569843096720108), np.float64(0.6600676013478048), np.float64(0.6596583898046112), np.float64(0.2698838240991951), np.float64(0.08443493896147675), np.float64(0.005189239059363903), np.float64(0.24397450455507044), np.float64(-0.2160798940050164), np.float64(0.5006678758893632), np.float64(-0.7038169999483963), np.float64(-0.22250342841673204), np.float64(-0.1765407469680613), np.float64(-0.46909918073082585), np.float64(0.289776934147306), np.float64(-0.3500730672478225), np.float64(-0.2808576034823487), np.float64(0.1898288194959381), np.float64(0.5803150173894066), np.float64(-0.2464038651566201), np.float64(0.34572691297220437), np.float64(-0.12651613799397535), np.float64(0.3504043686317687)]","[ 3.90911498 -3.14347323  2.93733    -0.03560349  2.98683137  0.3413841
  0.31788178 -0.26425678 -0.04787616 -0.15707529 -0.35796395  1.57570738
 -1.65781591 -1.60490953  1.56865701  1.57373341 -1.57290358 -1.57039943
 -1.57066387  1.5709365   1.57060685 -1.5692668   1.57069382 -0.11993629
 -1.57140497 -1.43028866 -1.81525766  1.6212073   1.50251868  4.70525583
 -1.5929351   1.22308441  1.35417608  4.9297655  -0.88062146  0.00927037
  1.56912186 -1.76101621  1.7007681   1.48028664  1.38255214 -1.5178467
 -1.37087667 -1.53534343  1.5525364   1.48331903  1.55207923  1.62735799]",-2.7297439357098483
"[np.float64(-0.0036283157430498235), np.float64(-0.07668870131061244), np.float64(-0.07990657236114374), np.float64(0.08150998210463896), np.float64(-0.12323529178034485), np.float64(0.3049278334913132), np.float64(-0.7170008636914417), np.float64(0.056326981793715154), np.float64(-0.010766393252684218), np.float64(-0.0684373988002629), np.float64(0.12172452369823665), np.float64(0.15535273342895506), np.float64(-0.3257641800360256), np.float64(0.6508916328770168), np.float64(-0.14172710339011313), np.float64(-0.07778383261408109), np.float64(-0.01360187602957527), np.float64(-0.028414618983745445), np.float64(-0.08128830948091577), np.float64(0.06144262979500453), np.float64(0.3064820918577779), np.float64(0.04798161380638732), np.float64(0.6627340889282769), np.float64(0.33784320884629654), np.float64(-0.0564586795464917), np.float64(0.15772738745866954), np.float64(0.1479866080897719), np.float64(-0.38249039529794354), np.float64(0.047834122632142435), np.float64(-0.3798688919877237), np.float64(-0.13819535847077968), np.float64(0.0999067452299553), np.float64(-0.5610289906107365), np.float64(-0.047047333692483664), np.float64(-0.342210392628664), np.float64(-0.5973514227511576), np.float64(-0.17792787032348548), np.float64(-0.37236522072128314), np.float64(0.19005266524244765), np.float64(0.03439384792542767), np.float64(0.6436263363913315), np.float64(-0.5724897549263877), np.float64(0.1854332480835618), np.float64(-0.1533458158563158), np.float64(-0.174083720962967), np.float64(-0.09700543000082859), np.float64(-0.4407446169823875), np.float64(0.08990185826829235), np.float64(-0.2570000585040998), np.float64(0.29135825897629536), np.float64(-0.16809996508158676), np.float64(-0.10053656851817215), np.float64(0.6091444754122229), np.float64(-0.10792216926073454), np.float64(-0.4132271367413676), np.float64(-0.026636631296635162), np.float64(-0.31951353251347836), np.float64(0.2934254456270511), np.float64(-0.3329828960614711), np.float64(-0.17389773494470173), np.float64(0.04409910064013693), np.float64(0.05785345126996969), np.float64(-0.18074133803663178), np.float64(-0.4798203651638391), np.float64(-0.42739682122014955), np.float64(0.2745699952859661)]","[-1.54362208  1.59894236 -0.01340489  0.52873349  0.89157648 -2.6329563
 -0.51240229  5.50340911 -0.32654658  0.96644302 -2.18757116  1.5570854
 -1.37752604 -0.13156342  0.92873701 -1.58635281 -1.56380795 -1.56695524
 -1.56992243  1.57026771 -1.5677152   1.5953026   1.62020011  3.46296569
 -1.5398445   0.0639264   1.08724522 -1.36881667 -1.43518203  1.42457294
  1.75037237  1.45431575  1.67960991  1.60802992 -1.56649907  1.57479726
 -3.14863817 -2.11405945  1.40902531 -1.63087233 -1.56378889 -1.55479039
  1.59269573 -1.50611215  1.17000706 -2.29654675  2.88233062 -3.15269286]",-2.085914842238708
"[np.float64(-0.3133326127692122), np.float64(0.28326643932744655), np.float64(-0.22830223710913594), np.float64(0.111002746631258), np.float64(0.32856350159293324), np.float64(-0.131593543233824), np.float64(0.04015622442496698), np.float64(0.03603617499291712), np.float64(-0.3176481119339417), np.float64(0.24041113492611504), np.float64(0.35926255379268), np.float64(-0.03948456617255642), np.float64(-0.023878561302853703), np.float64(0.02446458474393865), np.float64(-0.10246966371372551), np.float64(0.2750499389221146), np.float64(0.1314766992190929), np.float64(-0.38747296344834603), np.float64(-0.07995308580940179), np.float64(0.2662611599251466), np.float64(-0.09686738039261669), np.float64(-0.3768895385735497), np.float64(0.22055607592904217), np.float64(0.162838205940015), np.float64(-0.3791984365048026), np.float64(0.20289823937204363), np.float64(-0.16041987817358208), np.float64(0.30017592347829913), np.float64(0.5780232382584277), np.float64(0.04052186119921792), np.float64(0.0611939715993573), np.float64(-0.0855348446556642), np.float64(-0.12208899370163041), np.float64(0.16788127375492146), np.float64(-0.2627364772167551), np.float64(-0.19545552821500484), np.float64(0.22890778671835066), np.float64(0.47783143435266784), np.float64(-0.16065098496405886), np.float64(0.1834384531340102), np.float64(0.2328509681026073), np.float64(0.11022630659043499), np.float64(-0.009770167770056936), np.float64(0.20581841911971582), np.float64(0.08159635792544673), np.float64(0.00746894645738366), np.float64(-0.36795735722739475), np.float64(-0.05017337970480933), np.float64(-0.1489505168682174), np.float64(-0.3344139014974627), np.float64(-0.05853957319312547), np.float64(-0.22749916273172247), np.float64(0.00567236192530986), np.float64(0.05921695382420364), np.float64(-0.24178221233445038), np.float64(0.23926101813287468), np.float64(0.1608017486642847), np.float64(0.06765551988254681), np.float64(-0.5336501329264532), np.float64(0.016570985461909087), np.float64(-0.20853563617260687), np.float64(-0.1035539226599557), np.float64(-0.5425878081195783), np.float64(-0.2968696845585965), np.float64(-0.22916590606352058), np.float64(-0.07264545299016548)]","[-1.35132201e-02  3.14189978e+00  3.14297178e+00 -3.14218766e+00
  8.38552412e-04 -7.99342353e-04  3.14301190e+00  2.25686605e-04
  3.14196218e+00 -3.14169657e+00  3.14352084e+00  3.92425439e-03
  1.69146821e+00  1.57578297e+00  1.52090233e+00 -1.73981717e+00
 -1.64607249e+00 -1.74331764e+00 -3.23994304e+00 -7.06337356e-02
 -3.12702281e+00 -3.03290146e+00 -5.14065733e-01 -1.57302204e+00
 -1.56906769e+00 -1.57156155e+00  1.57195297e+00 -1.57072515e+00
 -1.57023267e+00 -1.57096253e+00 -1.57042806e+00  1.56383878e+00
 -1.59860178e+00 -1.49659544e+00  1.52917612e+00 -4.71335224e+00
  1.56524270e+00  1.58290381e+00  1.58081285e+00 -1.53182242e+00
  1.47843699e+00  1.64875605e-02  3.20582123e+00  1.03711054e-01
 -3.19329124e+00  2.81338327e+00  1.44387389e+00  1.72420970e+00]",-2.0912564163827483
"[np.float64(-0.06459802819387889), np.float64(0.22436593105057118), np.float64(-0.22502667804882742), np.float64(0.3327686379191861), np.float64(-0.4880792531918439), np.float64(-0.14073283644250925), np.float64(0.022949906419254314), np.float64(-0.33299782796553107), np.float64(0.1806188001444952), np.float64(-0.6467650645724615), np.float64(0.1818724809981416), np.float64(0.1702166875231134), np.float64(-0.06498945968920858), np.float64(0.01611107752053064), np.float64(0.09152886759511865), np.float64(0.08138331068863301), np.float64(0.20874786197826808), np.float64(-0.06289394675251687), np.float64(0.12992921830205423), np.float64(-0.222866193068235), np.float64(0.4937753424814356), np.float64(0.6940618383041249), np.float64(0.17300358872302957), np.float64(0.5310071889752568), np.float64(-0.0733645557208395), np.float64(-0.003247701514994062), np.float64(-0.023533705681462267), np.float64(0.6738110147300318), np.float64(0.19798619646684584), np.float64(-0.34692899678459777), np.float64(-0.14510593638761726), np.float64(0.2052770602976434), np.float64(-0.020706714715898227), np.float64(-0.09863938785380097), np.float64(-0.0854182575487004), np.float64(0.34065642662893325), np.float64(0.14204528604365396), np.float64(0.2906081372090756), np.float64(0.08962483561501323), np.float64(0.14630378090011936), np.float64(-0.07588059433570843), np.float64(-0.09350458822646605), np.float64(-0.293015694542124), np.float64(0.5205708813693081), np.float64(0.6398829457314342), np.float64(0.2837093973391135), np.float64(-0.23387142311211756), np.float64(0.049886770874123625), np.float64(-0.8355362446046051), np.float64(-0.20083973161243715), np.float64(0.016112323033644158), np.float64(-0.3025876182753468), np.float64(0.5934897414675905), np.float64(-0.18722408056823728), np.float64(0.7379919701603483), np.float64(-0.09870138557171214), np.float64(0.03560724097259487), np.float64(0.12214421770882561), np.float64(-0.0508862851854871), np.float64(0.11245235364162956), np.float64(0.014208899809188661), np.float64(0.19898323039056523), np.float64(0.12604455506068782), np.float64(0.24817178526875294), np.float64(-0.13495019659083435), np.float64(0.5730205931575556)]","[ 1.74444591e+00 -4.91021149e+00  4.68091006e+00 -4.56349095e-02
  1.53257900e+00  3.15110211e+00 -1.88607703e+00  3.08601518e+00
 -1.57547718e+00 -1.61336861e-01  3.94919126e-01  1.17918663e+00
  4.61683071e+00 -4.63201145e+00 -3.76936375e+00 -2.49804673e+00
 -1.57844925e-01  2.96857795e+00  1.55308498e-03 -3.16676947e+00
  1.48504526e+00  1.61454627e+00  1.56180513e+00 -1.57130017e+00
  1.71976500e+00 -1.54607928e+00  1.31076350e-01 -1.62028105e+00
  3.18949383e+00  1.86380312e+00 -3.28960485e+00 -1.63886353e+00
  2.94418147e+00 -5.57163150e-01 -1.38814384e+00 -1.70110830e+00
  3.16221048e+00  2.90598258e+00  8.82603719e-02  3.11191144e+00
  3.17931697e+00  3.20208255e+00  3.24565022e+00  3.24288079e+00
  2.98071236e+00 -3.21556073e-01  1.55781180e-01  2.22389862e-02]",-1.2801619258107166
"[np.float64(0.31855230405221113), np.float64(0.028803608023501223), np.float64(-0.7388526258234871), np.float64(0.22895865991603173), np.float64(-0.4332215410767345), np.float64(-0.13498126131303362), np.float64(-0.08138632692505192), np.float64(-0.24142995679836887), np.float64(0.3504800948857139), np.float64(-0.000582611845181346), np.float64(0.40530573886299415), np.float64(-0.5124764762545841), np.float64(0.029541792849427463), np.float64(-0.14719858069563715), np.float64(-0.22572565469427958), np.float64(-0.2901056135202967), np.float64(0.05660771358110751), np.float64(0.056804521246892246), np.float64(-0.09468307325250254), np.float64(-0.003433959355971537), np.float64(0.038284433308925656), np.float64(0.008000584931979155), np.float64(0.043414103149005644), np.float64(0.10593580355604162), np.float64(-0.06348128912527401), np.float64(-0.43351680753304134), np.float64(0.19035661316020422), np.float64(0.3145691779377209), np.float64(0.6001350361932583), np.float64(-0.2217535708805438), np.float64(-0.009356284107357813), np.float64(-0.005705833780280012), np.float64(-0.18402168603244928), np.float64(0.5280303807800947), np.float64(0.10646714940217794), np.float64(-0.1843589455807635), np.float64(-0.11923280533434817), np.float64(-0.2597806254795646), np.float64(-0.28804097626398795), np.float64(-0.5583932723455368), np.float64(-0.0806889276047149), np.float64(0.18744225946717546), np.float64(0.22251309971401492), np.float64(0.2642283185198227), np.float64(-0.05520197225162595), np.float64(0.07557105558533472), np.float64(-0.2248744934630393), np.float64(-0.14860695362023515), np.float64(0.015461839362498574), np.float64(0.18045068311013046), np.float64(0.37541120388793575), np.float64(0.18101872044961898), np.float64(0.3373150624220258), np.float64(-0.5039672183749739), np.float64(-0.09770996136667323), np.float64(0.5816832856811616), np.float64(0.25630359729528246), np.float64(-0.1402352297633944), np.float64(-0.17642680442087444), np.float64(-0.3402367668880004), np.float64(0.30343900873264035), np.float64(0.31894067202153636), np.float64(-0.029658427110676823), np.float64(-0.025542013515903832), np.float64(0.1537183628720573), np.float64(0.2789551943788145)]","[ 1.57590863e+00  2.32702378e-01  1.56981104e+00  3.18358963e-03
  4.66307265e+00  3.14215493e+00 -1.53193066e+00 -2.63325173e-02
  1.58170002e+00 -1.57094429e+00 -4.97218829e-03 -1.56916464e+00
  1.57705111e+00 -1.56646116e+00 -3.72884447e+00  5.82946696e-01
 -8.49224314e-01  8.46945918e-01  1.26260880e+00  1.88602993e+00
 -1.56566811e+00 -2.95038282e+00  1.88308848e-01 -1.57050667e+00
  1.33126435e+00  2.25364256e-01 -1.51505810e+00  9.98280927e-02
 -1.44818248e+00  8.62992820e-02 -1.69465356e+00 -2.22180687e-01
 -3.19430722e+00  1.91399847e+00  1.17159416e-01 -3.14396038e+00
 -1.57192408e+00  1.42827278e+00 -1.61895135e+00 -1.73757001e+00
  1.69995382e+00 -1.62561621e+00  1.57560338e+00  1.68167239e+00
  1.58060398e+00 -1.59667565e+00 -1.75933398e+00 -1.70540817e+00]",-1.5539521887430965
"[np.float64(0.6147346486942417), np.float64(-0.007104946895787455), np.float64(0.0956677723211631), np.float64(0.3783446811883121), np.float64(0.23435478183226247), np.float64(0.08837788206154178), np.float64(0.023858514900674255), np.float64(0.17320442343408732), np.float64(-0.34078240763129514), np.float64(-0.3442233760888041), np.float64(0.023328792050860893), np.float64(-0.7638080359228364), np.float64(0.1853393554540515), np.float64(-0.1863678769681161), np.float64(-0.5471531428192706), np.float64(0.47457716791651927), np.float64(-0.17599470512147877), np.float64(-0.39318011532217995), np.float64(-0.03436450773218943), np.float64(0.0332232077539719), np.float64(0.5987685343384279), np.float64(0.07400404513386667), np.float64(-0.45199639309470835), np.float64(-0.0003202287459349532), np.float64(-0.19154432701420754), np.float64(0.4064063789107582), np.float64(0.1892815408215366), np.float64(0.0745591759217801), np.float64(0.09919129780553783), np.float64(-0.04471485023373987), np.float64(-0.5360817153166417), np.float64(0.1355465347904587), np.float64(-0.2621616991571524), np.float64(0.20891841408188455), np.float64(-0.5071825299674673), np.float64(-0.18509159220578272), np.float64(-0.008749987702984392), np.float64(0.05842068940906547), np.float64(0.41029074195803406), np.float64(-0.27831250155239545), np.float64(-0.18756871635810074), np.float64(0.4416017963614927), np.float64(0.5043337827138695), np.float64(-0.5094009201289145), np.float64(0.5257794820000681), np.float64(0.2833845960209693), np.float64(0.02094554128288523), np.float64(-0.11644917003922216), np.float64(-0.12052150061116894), np.float64(-0.010693808801736659), np.float64(0.12132366442271582), np.float64(0.05165312931257852), np.float64(0.17799878894249566), np.float64(0.14805260341870785), np.float64(0.1538103714997678), np.float64(0.16309999470737718), np.float64(-0.061884014481905954), np.float64(-0.19862155893739733), np.float64(-0.10753837094748428), np.float64(-0.3567221058848419), np.float64(0.45114880390831374), np.float64(0.5297030313123984), np.float64(-0.011576711044331698), np.float64(0.1607841744457539), np.float64(-0.5299840994005423), np.float64(0.16018741511987913)]","[ 2.41207954 -3.07658421 -1.00408792 -2.87973756  1.27220561 -3.1247322
 -1.56959849 -0.01059881  1.60235023 -0.05730487  1.43092676  1.57035739
 -1.57135832 -1.57189226  1.57401362  1.56992556 -1.57842778  1.56605056
  0.59836564 -0.59769431  2.12931617  2.08842399 -1.64159492  1.57082024
  0.4194744   2.71432017 -1.42391558  3.78395599  1.04360458 -2.65881525
  1.26476566 -0.25163041  2.5214887  -0.67279371  1.43875881  1.69829071
 -1.72922602 -1.58689602 -1.55988982  1.57418112 -4.71627579  4.71365754
  1.57330118  1.5671002   1.57524537  1.56410663 -1.56350597 -1.48198452]",-1.2753032307127796
"[np.float64(-0.04793576166797716), np.float64(-0.12266150069072469), np.float64(0.3399593229819788), np.float64(0.14039102983055138), np.float64(-0.15560235216354745), np.float64(0.24925466570055324), np.float64(0.16102883830280298), np.float64(-0.2658753876372324), np.float64(-0.047512535989962135), np.float64(-0.22248509051378898), np.float64(-0.42872800344152107), np.float64(0.4779807596129588), np.float64(-0.25901839614773864), np.float64(-0.23400036338525537), np.float64(-0.1377340563462867), np.float64(0.12462116715612745), np.float64(0.14514024342726178), np.float64(0.16892504152248988), np.float64(-0.6336496128070447), np.float64(0.30206486004074407), np.float64(0.34193971480788926), np.float64(0.127595304852873), np.float64(-0.19621394907460826), np.float64(-0.049047488112363626), np.float64(-0.3988879410994698), np.float64(0.08270581271928712), np.float64(0.31772962467024524), np.float64(-0.08416733325269149), np.float64(0.3492276716438738), np.float64(0.09926720979728831), np.float64(-0.1426948975302821), np.float64(0.06527953871771539), np.float64(0.22549682746699226), np.float64(0.31669277465516943), np.float64(0.12461775311248795), np.float64(0.038105341069225265), np.float64(0.03571119705276133), np.float64(-0.302595915099155), np.float64(-0.22442537707028293), np.float64(-0.23434840980614308), np.float64(-0.06207289893611156), np.float64(0.17111073746687494), np.float64(0.4672389290476528), np.float64(0.1475429906528084), np.float64(0.2254773623779266), np.float64(-0.48260987501009617), np.float64(0.23062435115984947), np.float64(0.10790625927485031), np.float64(-0.06210526354169149), np.float64(-0.5757563974370553), np.float64(-0.22662225747143175), np.float64(0.23707456270451374), np.float64(-0.1569017100297536), np.float64(-0.08180878014901274), np.float64(0.1445582374689771), np.float64(0.34761592240941996), np.float64(-0.2221413268859168), np.float64(0.01002862843610262), np.float64(-0.41730919704495384), np.float64(0.757623740459161), np.float64(0.026505481408398986), np.float64(-0.4346571017766226), np.float64(0.22494259401634006), np.float64(0.1258057248438663), np.float64(0.07676228903469656), np.float64(0.10922911472122193)]","[ 1.57587218e+00 -1.57581651e+00  1.56665179e+00 -1.57889580e+00
  1.31697421e+00  1.60478437e+00 -1.62345155e+00 -1.45589706e+00
 -1.53068657e+00  1.49941982e+00  1.38978448e+00  1.59161456e+00
 -1.17639711e+00 -3.53966966e+00  3.30042100e-01 -1.73769477e-01
  5.04775936e-04 -1.80553603e-01  2.41664690e-01  3.48695126e-01
  8.15933205e-02 -2.48504993e-01  2.88932210e+00  3.59327859e-02
 -1.55610853e+00  1.69854337e+00  1.65405503e+00 -4.66953757e+00
 -1.64994027e+00  1.48140353e+00 -1.54529570e+00  1.49631492e+00
  1.49486167e+00  1.48366747e+00  4.28702928e+00 -1.58681475e+00
 -1.16674528e+00  1.31785277e+00  1.33214769e+00 -1.52398750e+00
 -1.58112803e+00  1.48644657e+00  4.63256134e+00  1.37959995e+00
 -1.65210471e+00 -4.35214581e+00  1.74924291e+00 -1.05721678e+00]",-2.258063350456723
"[np.float64(0.10718309279631436), np.float64(-0.18138377479370832), np.float64(-0.04146333361336989), np.float64(-0.04833366145428907), np.float64(-0.8769306976979938), np.float64(0.3674523117961227), np.float64(-0.2331798319259634), np.float64(-0.20470693360596826), np.float64(0.376221128844954), np.float64(-0.2559190841799318), np.float64(-0.09780899389006785), np.float64(0.1711312940985534), np.float64(-0.11570417420257526), np.float64(-0.25208733822129764), np.float64(0.2929875151726789), np.float64(0.14355577843128295), np.float64(0.228909610077197), np.float64(-0.1820872283221856), np.float64(0.013416491325137987), np.float64(0.2249135226599025), np.float64(0.0280336934994836), np.float64(-0.11193679882370074), np.float64(-0.5800670721758561), np.float64(0.041231240620932835), np.float64(-0.6398320857723685), np.float64(0.39393943821810734), np.float64(-0.11014391637935429), np.float64(0.3167897135796358), np.float64(-0.18870771101810568), np.float64(0.23534708814095037), np.float64(-0.07358960898589716), np.float64(0.5003049199278261), np.float64(-0.5728814422309132), np.float64(-0.3140760043114569), np.float64(-0.1791344000070018), np.float64(-0.16429855258251172), np.float64(-0.3949986340855982), np.float64(0.08687395448302672), np.float64(0.2013477707494682), np.float64(0.11455804625602692), np.float64(-0.023326502690691163), np.float64(0.18718763583171974), np.float64(0.20454759421750662), np.float64(-0.05227537423015006), np.float64(-0.009821723270874105), np.float64(-0.19468660294559856), np.float64(-0.1797317905668588), np.float64(-0.37719757230884793), np.float64(0.3888754430760716), np.float64(0.11810243393328818), np.float64(-0.01984506888144637), np.float64(-0.40975237237780804), np.float64(-0.49704155713028825), np.float64(-0.09267353646561274), np.float64(-0.14602945429096312), np.float64(-0.5363020440815498), np.float64(0.8702785286708449), np.float64(-0.47869879835238693), np.float64(0.13488999947251604), np.float64(-0.21272741126766517), np.float64(0.10815127600918556), np.float64(0.26830225768565613), np.float64(-0.5405789349312261), np.float64(0.3914780413174085), np.float64(-0.003223440941544002), np.float64(-0.23661038076202795)]","[-3.00963780e+00 -2.39316809e+00 -1.23910385e+00 -1.33863569e+00
 -2.39940527e+00 -1.17808879e-01  1.57088888e+00  8.23345331e-03
  4.70972271e+00 -2.82857713e+00  2.46048282e+00  1.57086047e+00
 -1.57135679e+00 -1.57083152e+00  1.57063430e+00 -1.57111274e+00
 -1.57045713e+00  1.57123367e+00 -4.39397300e+00  1.25236231e+00
 -1.56833681e+00 -1.56890679e+00  1.57058348e+00 -4.71243626e+00
  8.22366680e-01  2.75095808e-01 -3.22784121e-01 -3.65963988e+00
 -1.22565452e+00 -1.44431592e-01 -1.48354403e+00  2.62546862e+00
  1.22319602e+00 -2.12579973e+00  1.25507412e+00  6.14493345e-04
 -1.57081653e+00  1.70448304e+00  1.76810770e+00  4.53004779e+00
  5.07961351e+00 -1.48449312e+00  1.54005722e+00  1.49845363e+00
 -1.61778768e+00  1.62148457e+00  1.62602871e+00 -4.75703251e+00]",-1.842983568029922
"[np.float64(0.01686376427106829), np.float64(-0.16612239869286655), np.float64(0.27605134652533514), np.float64(0.21408462259184038), np.float64(0.22496301217135872), np.float64(-0.33525850967689547), np.float64(-0.16233534631094104), np.float64(-0.07821890351070454), np.float64(0.156378627444588), np.float64(0.23138055729782517), np.float64(-0.30050714952879415), np.float64(0.3287454237034668), np.float64(0.006989931031215769), np.float64(-0.23018033719288558), np.float64(-0.05168945850252604), np.float64(0.1868268118241168), np.float64(0.722864303397203), np.float64(-0.3501082616176452), np.float64(0.1713506338181047), np.float64(-0.04674809770311042), np.float64(0.12879908201499646), np.float64(-0.3814822015303139), np.float64(-0.3446951211035945), np.float64(-0.008293864031154464), np.float64(0.12471992992307253), np.float64(-0.005384828579891938), np.float64(0.07236167938865629), np.float64(-0.12028253247883719), np.float64(0.4575127211990697), np.float64(-0.5096825821540093), np.float64(0.2230044723949184), np.float64(0.06566340260695702), np.float64(-0.6041869292664119), np.float64(0.21749842556926538), np.float64(0.34178908928797125), np.float64(0.08879281110791122), np.float64(-0.41458196296831396), np.float64(-0.2282666954359244), np.float64(0.0767894911850064), np.float64(-0.33422209382215473), np.float64(0.28873608532511197), np.float64(0.19922433241803217), np.float64(0.28468490765175997), np.float64(-0.029429872382460174), np.float64(0.06539441641858747), np.float64(-0.6230014670696528), np.float64(0.5037349053224975), np.float64(-0.08267502715822375), np.float64(0.3028913002356598), np.float64(-0.12278320875421057), np.float64(0.41562426474675773), np.float64(-0.0578458243135206), np.float64(-0.11002788006473357), np.float64(0.12263031231006734), np.float64(0.19291180012011394), np.float64(0.20105732685231584), np.float64(-0.1018193041071801), np.float64(-0.13574177369255114), np.float64(0.21948419097250943), np.float64(-0.15878763188678321), np.float64(0.3058504714589753), np.float64(-0.4413266577632038), np.float64(0.3381848295911952), np.float64(0.05177934691483962), np.float64(-0.009725395305252633), np.float64(-0.19525365844462)]","[ 0.80237252  1.54815085  2.17087978 -0.78817948 -0.90968973  0.82062259
  0.99794818 -0.67654544  0.9979553   0.46137479  0.20582994  1.5791271
  1.57421034  1.01690597 -0.94105167  1.32115687 -4.56898782  4.62665559
  1.6237418  -1.54011975 -1.58286798  1.56592904 -1.57096997  1.56899074
  4.06683736 -0.55048413  5.01298012 -1.67758092 -1.53283929 -1.60842775
 -1.4966602  -1.60849673 -1.51621452  1.47496118  1.5322598  -1.5659738
 -1.55867985 -1.54759629 -1.59688169  1.61608665  1.52849291  1.61725886
  1.59146895 -1.58049389 -1.55277851  1.61235357  4.73388608  1.5643042 ]",-2.155248345335167
